catalog_id,name,discovered_at,discovered_by,discovered_from,type,text,entry,test_material,test_microscope,test_age,test_history,test_xrf,gm_notes,is_visible
EL-QV57-1,Power source,541.295,Remy Hall,P-TE96-QV57,Elder,An elder artifact. Found from planet P-TE96-QV.,"541 Team was able to strain the organic growth of the artifact EL-QV57-1 and have determined that the artifact is some form of organic powersource that grows around the generator and is able to produce immense amounts of energy for very long periods of time.

542 Artifact EL-QV57-1 has suddenly started showing organic activity and seems to be rapidly growing. There are multiple theories that specific type of genetic mutation would be required to activate and operate Elder originated artifacts and the team has been working on confirming the theory and isolating the gene type.","The artifact is an intricate structure combining unknown metallic and organic components. The metallic parts are smooth and cold to the touch. Surprisingly lightweight for its size, suggesting advanced materials. Sophisticated artifact combining unknown metal and partly biological components. Seems to be able to harness and store vast amounts of energy, likely for advanced technological applications.","Composed of an unknown alloy with a complex, lattice-like arrangement. The metal has a high reflectivity and an iridescent sheen. The organic parts consist of cells that resemble both plant and animal tissues, capable of limited autonomous movement and regeneration. The junctions between metal and biological materials show seamless integration at a microscopic level, indicating highly advanced bioengineering techniques.",9000,Its age and advanced integration of materials suggest it originates from a highly advanced alien civilization. The Alien Artifact's combination of unknown metal and biological components for energy storage and transfer could revolutionize our understanding of materials science and bioengineering.,"The metallic parts contain elements not found on Arati system, with a significant presence of unknown, heavy elements. Small amounts of arati elements like iron, copper, and silicon. The organic parts contain a mix of carbon, nitrogen, and phosphorus, along with unidentified biomolecules that seem to facilitate energy transfer and storage.","Power source
Power source goes to Starcaller and needs 4 with elder gene to use it
Needs GM approval before it can be used.",TRUE
EL-QV57-2,Unknown,541.303,Remy Hall,P-TE96-QV57,Elder,An elder artifact,,"The artifact is an intricate structure combining unknown metallic and organic components. The artifact is an intricate structure combining unknown metallic and organic components. Extremely lightweight, suggesting the use of advanced materials. Emits a very faint, almost undetectable, metallic scent. ","The material shows a complex nanostructured surface, designed to manipulate light and other electromagnetic waves. Layers of unknown metamaterials interlaced with biological filaments that react to environmental stimuli. ",9000,,"Contains rare arati elements and unknown heavy elements, which contribute to its light bending capabilities. Small amounts of arati elements like aluminum and magnesium. Surface seems to manipulate light and other electromagnetic waves. Blend of unknown metamaterials and adaptive biological components suggests it is capable of real-time adjustments to its environment.","Cloaking device
The Guardian has this at the beginning of the larp and they are the only one able to use it. 
Needed for Starcaller mission.",FALSE
EL-QV57-3,Healing device,541.329,Remy Hall,P-TE96-QV57,Elder,An elder artifact. Found from planet P-TE96-QV.,,"The artifact is an intricate structure combining unknown metallic and organic components. The artifact resembles a handheld device with smooth, curved contours. Surprisingly lightweight, suggesting advanced materials or anti-gravity properties. Seems to have advanced energy manipulation and biological integrations.","Nano-scale patterns indicate precision engineering to enhance bio-compatibility and energy transmission. Complex arrangement of crystalline structures interspersed with intricate biological membranes. Cells resembling highly adaptive neural tissues, potentially allowing the device to adjust its properties dynamically.",9000,,"Contains exotic elements not found naturally on Arati system. Presence of unknown compounds,  possibly derived from advanced alien biochemistry.","Healing device
Velian healing machine which only people who has the Elder gene can use.
It is limited by the users ability to guide it - so with cases of rare diseases the operator might not have enough knowledge to guide the device with required healing. Using the device is highly draining for the user and it can only be used by those who have received training in using one and posses a certain gene needed to operate alien technology - there are three characters in game who can use it (Nayel, Naethan and Guardian).",TRUE
EL-QV57-4,Cooling device,541.346,Remy Hall,P-TE96-QV57,Elder,An elder artifact. Found from planet P-TE96-QV.,,"The artifact is an intricate structure combining unknown metallic and organic components. The artifact appears as a compact, geometrically precise module. No discernible scent detected.","Nano-scale patterns indicate advanced engineering for efficient heat dissipation. High-purity metals interwoven with intricate heat-absorbing crystals or structures. Shows rapid heat dispersion capabilities, maintaining low temperatures even under stress.",9000,"Seems to be designed to extract and dissipate heat from advanced propulsion systems like jump engines. Its composition and capabilities defy conventional understanding.
Historical Similar Artifacts:
The Ark of the Covenant: According to ancient texts, a sacred artifact said to harness immense power, possibly akin to advanced energy manipulation technologies.
The Firebird's Feather: Mythical object in folklore capable of absorbing and controlling fire, similar to the alien device's heat absorption capabilities.","Dominated by heavy metals and exotic alloys not found on Earth, optimized for thermal conductivity and resilience. Contains proprietary compounds enhancing its heat absorption efficiency, possibly derived from advanced alien metallurgy.","Cooling device
Can be used to bypass cooling time of the jump engine. Usable twise per game. Both times are predetermined cases.
After players has used it first time GMs need to approve when the device can be used again",TRUE
EL-QV57-5,Unknown,542.008,Remy Hall,P-TE96-QV57,Elder,An elder artifact. Found from planet P-TE96-QV.,,"The artifact is an intricate structure combining unknown metallic and organic components. Surprisingly lightweight, indicating advanced materials or anti-gravitational properties. No discernible scent detected.",Nano-scale etchings and patterns suggest sophisticated information encoding mechanisms. Composed of crystalline matrices interlaced with conductive pathways resembling neural networks.,9000,,Dominated by exotic materials not found on Arati system. Contains proprietary compounds suggesting superconductor. Possibly derived from advanced alien materials science.,"Calculator
This is the artifact the engineers Vane Hodge and Nikita Watson stole.
EVA needs to message them for more info what to do with it.
GMs need to approve when the artifact is sufficiently integrated to ship systems
Adds one extra calibration slot.",TRUE
EL-QV57-6,Unknown,542.008,Remy Hall,P-TE96-QV57,Elder,An elder artifact. Found from planet P-TE96-QV.,,"The artifact is an intricate structure combining unknown metallic and organic components. Surprisingly lightweight, indicating advanced materials or anti-gravitational properties. No discernible scent detected.",Nano-scale etchings and inscriptions suggest sophisticated information encoding mechanisms. Crystalline structures intricately arranged with conductive pathways optimized for electromagnetic wave manipulation. Demonstrates enhanced ability to amplify and extend electromagnetic waves. ,9000,,Dominated by exotic materials not found on Arati system. Contains proprietary compounds suggesting superconductor. Possibly derived from advanced alien materials science. Material seems to have good signaling capabilites.,"Scan range extender
Adds extra scan range to LORA Science Voyager. 
GMs need to approve when the artifact is sufficiently integrated to ship systems",TRUE
EL-QV57-7,Unknown,542.101,Remy Hall,P-TE96-QV57,Elder,An elder artifact. Found from planet P-TE96-QV.,,"The artifact is an intricate structure combining unknown metallic and organic components. The artifact appears as a compact, geometrically precise module, emitting a subtle, energetic hum outside human hearing range. Surprisingly light for its size, suggesting advanced materials or unconventional construction. No discernible scent detected.",Nano-scale patterns and etchings hint at intricate information encoding mechanisms. Comprised of layers of crystalline structures interspersed with conductive pathways resembling neural networks.  ,9000,,Dominated by exotic materials not found on Arati system. Contains proprietary compounds suggesting superconductor. Possibly derived from advanced alien materials science.,"Calculation booster
Can be used to speed up the calibrations by 100 for 1 minute. Is useable twice per game.
Notice that it cannot be used to few story related calibrations (double jump)
GMs need to approve when the artifact is usable",TRUE
S-PEF3536,Comet Class Fighter,496.136,Pat Montoya,Alpha-6-D3-118,EOC,"**Small Size EOC ship**

The Comet class Fighter was designed to be a fast and versatile for out of orbit combat as well as transporting small groups of personnel to planet surface. For now the Comet has performed admirably. With capable pilots there are even proven cases of it being able to take down larger ships single handedly.

![](/social/assets/img/artifacts/eoc_fighter.webp)",,,,,,,,TRUE
S-OEW8294,Helios Class Corvette,444.298,Tilly Fjord,Alpha-6-D3-118,EOC,"**Medium size EOC ship**

The Helios class corvette was designed long ago as an reliable cargo ship to haul large shipments across the star system. Known as an old classic, the Helios class has managed to retain its usefulness throughout the years. Due to its bulky and firm structure, in resent years many of the remaining Helios ships have been converted into military use.

![](/social/assets/img/artifacts/eoc_corvette.webp)",,,,,,,,TRUE
S-BMO4298,Eclipse Class Frigate,501.009,Nana Ishimoto,Alpha-6-D3-118,EOC,"**Medium size EOC ship**

The Eclipse class frigate is the current peak in our military technology. The ship was designed as a fast reaction vessel that could easily jump to any conflict area and provide support to any friendly ships until a larger fleet could arrive to the area. For now the Eclipse class has performed beyond expectations, but only time will tell if it has what it take to be a true classic.",,,,,,,,TRUE
