id,name,character_groups,character_ids,artifact_ids,size,importance,dmx_event_num,type,gm_actions,after_jump,locked,status,npc_location,npc_count,description,gm_note_npc,gm_notes
1,LARP STARTS,All,,,Large,Mandatory,,Character,No need,0,TRUE,In Progress,,0,Larp starts,,
2,Solaris 7 start,Solaris,"Evin Reid, Gallan Reid",,Medium,Mandatory,,Character,Briefing Character,0,TRUE,In Progress,,0,Players who start their game from Solaris 7 starts their game,,
3,Velian / Atlantis 3 start,"Velian, Atlantis 3","Xavier Blake, Alia Swanson, Zyra Lee, Malak Kovalenko, Roan Rowen, Tristan Fukui, Flann Hollow, Lane Thomas, Nicol Wells, Ballard Case, Hali Okuma, Eugenie Russell, Karin Alexandrov, The Guardian, Jardan, Taelor, Aedan, Saria, Zaera,  Mael, Keana, Tarai, Anix, Nayel, Naethan, Jaeco, Briya, Avery Higashi, Harley Carroll, Gene Hawkins, Lee Savage, Fenix Ellis",,Medium,Mandatory,,Character,Briefing Character,0,TRUE,In Progress,Other,2,Players who are from Velian or Atlantis 3 starts their game,There are two Velian NPCs. One of them dies before pick up and other on ESS Odysseus,
4,ESS Starcaller onboard,Starcaller,"Jin Komatsu, Dallan Jordan, Yera Romero, Kai Rogers, Cal Allen, Tyler Carrillo, Idris Kalashnik, Skye Duran",,Medium,Mandatory,,Character,Briefing Character,0,TRUE,In Progress,,0,"To avoid further loss of life, the government (or what was left of it) decided to send out a delegation of diplomats that would go and meet the machines in order to surrender and to negotiate for peace.

Starcaller departed the main fleet three and a half days ago, on star date 152 (of year 542). They had been traveling for two days when suddenly the ship engines broke down.

The military had given the diplomats a tracking device that they could use to find their way back to the main fleet. The device did not work - it didn’t broadcast nor receive any signal. The only remaining option seemed to be to use the ship’s inbuilt emergency transmission. It took 24 hours before anyone responded. It was unexpectedly from the spaceship ESS Odysseus. It took a few further hours for Odysseus to reach Starcaller. Starcaller has just now landed on ESS Odysseus.

There has been speculation about how it can be that a top of the line ship like this can suddenly malfunction, along with the device. Is this sabotage?",,
5,Solaris 7 - Research station SOS,Bridge Crew,"Evin Reid, Gallan Reid",,Small,Mandatory,,Character,No need,0,TRUE,Not Done,,0,Solaris 7 sends out SOS mesasges,,Possibility to send a message from Research station and then open text comms and later on voice comms to Odysseus
6,Jump 1,"Bridge Crew, Engineers",,,Medium,Mandatory,,Jump,Jump actions,0,TRUE,Not Done,Fleet Comms & EE,2,Odysseus runs away from the Machines and jumps to rescue people from Solaris 7,"Empty Epsilon NPC: Before jump - Minor attack
Accepted location(s): Alpha-6-D3-118-CS39
Normal JUMP
Solar shift
After jump: Solaris 7 pick up",
7,LM 1 - Solaris 7 pick up,"Marines, Armory, Scientists, Security","Evin Reid, Gallan Reid, Nolan Hunter, Gale Chapman, Leone Mills, Kerrie Ray",,Medium,Mandatory,,Land Mission,Briefing Character,1,TRUE,Not Done,Mission,,"Day 1: 19.15-19.45
Solar
Finding and helping injured scientists
Odysseus picks up 2 researchers from Solaris hopefully before they are out of air",,Only 4 members on mission - additional members not yet added to the team (also room for Evin and Gallan Reid to be picked up)
8,Genesis ship SOS signal,"Bridge Crew, Velians","Xavier Blake, Alia Swanson, Zyra Lee, Malak Kovalenko, Roan Rowen, Tristan Fukui, Flann Hollow, Lane Thomas, Nicol Wells, Ballard Case, Hali Okuma, Eugenie Russell, Karin Alexandrov, The Guardian, Jardan, Taelor, Aedan, Saria, Zaera,  Mael, Keana, Tarai, Anix, Nayel, Naethan, Jaeco, Briya, Avery Higashi, Harley Carroll, Gene Hawkins, Lee Savage, Fenix Ellis",,Small,Mandatory,,Character,No need,1,TRUE,Not Done,Other,2,Genesis ship sends SOS message which ESS Odysseus and Fleet notices,Two Velians who are on Genesis ship with other Velians and Atlantis 3 people,
9,Jump 2,"Bridge Crew, Engineers",,,Medium,Mandatory,,Jump,Jump actions,1,TRUE,Not Done,Fleet Comms & EE,2,Odysseus runs away from the Machines,"Empty Epsilon NPC: Before jump - Minor attack
Accepted location(s): Alpha-6-D3-101/Alpha-6-D3-117
Normal JUMP
Lunar shift",
10,Jump 3,"Bridge Crew, Engineers",,BEACON-1,Medium,Mandatory,,Jump,Jump actions,2,TRUE,Not Done,Fleet Comms & EE,2,Odysseus runs away from the Machines,"Empty Epsilon NPC: Before jump - Normal stuff
Accepted location(s): Alpha-5-D2-100-P-DE47-HC55
Double JUMP - breaking
Lunar shift
After jump: Velian pick up, Beacon puzzle 1, Meeting the fleet, death of Velian NPC",
