id,zoom,quadrant,sector,sub_sector,name,x,y,the_geom,sub_quadrant
20,2,Pi,,,Pi-4,,,0103000020110F00000100000005000000A4703D8640197341666666D5EBBA704190C2757518B67041666666D5EBBA704190C2757518B670419A999961C41E7341A4703D86401973419A999961C41E7341A4703D8640197341666666D5EBBA7041,Pi-4
4615,4,Delta,H4,247,Delta-14-H4-247,38,31,0103000020110F0000010000000500000090C2757518B650410000000000000000F6285CC9E0A54C410000000000000000F6285CC9E0A54C419A999961C41E234190C2757518B650419A999961C41E234190C2757518B650410000000000000000,Delta-14
1,1,Pi,,,Pi,,,0103000020110F00000100000005000000A4703D86401973419A999961C41E6341A4703D86401963419A999961C41E6341A4703D86401963419A999961C41E7341A4703D86401973419A999961C41E7341A4703D86401973419A999961C41E6341,
4616,4,Delta,H4,248,Delta-14-H4-248,39,31,0103000020110F00000100000005000000A4703D86401953419A999961C41E2341A4703D8640195341000000000000000090C2757518B65041000000000000000090C2757518B650419A999961C41E2341A4703D86401953419A999961C41E2341,Delta-14
4617,4,Delta,H5,249,Delta-15-H5-249,40,31,0103000020110F00000100000005000000B81E0597687C55419A999961C41E2341B81E0597687C55410000000000000000A4703D86401953410000000000000000A4703D86401953419A999961C41E2341B81E0597687C55419A999961C41E2341,Delta-15
1001,3,Eta,D4,,Eta-6-D4,,,0103000020110F00000100000005000000E27A94B8B8426A41353333064E4A6AC1F6285CC9E0A56C41353333064E4A6AC1F6285CC9E0A56C416866669226AE6CC1E27A94B8B8426A416866669226AE6CC1E27A94B8B8426A41353333064E4A6AC1,Eta-6
4618,4,Delta,H5,250,Delta-15-H5-250,41,31,0103000020110F00000100000005000000B81E0597687C55419A999961C41E2341CDCCCCA790DF57419A999961C41E2341CDCCCCA790DF57410000000000000000B81E0597687C55410000000000000000B81E0597687C55419A999961C41E2341,Delta-15
4619,4,Delta,H6,251,Delta-15-H6-251,42,31,0103000020110F00000100000005000000E27A94B8B8425A410000000000000000CDCCCCA790DF57410000000000000000CDCCCCA790DF57419A999961C41E2341E27A94B8B8425A419A999961C41E2341E27A94B8B8425A410000000000000000,Delta-15
4620,4,Delta,H6,252,Delta-15-H6-252,43,31,0103000020110F00000100000005000000F6285CC9E0A55C419A999961C41E2341F6285CC9E0A55C410000000000000000E27A94B8B8425A410000000000000000E27A94B8B8425A419A999961C41E2341F6285CC9E0A55C419A999961C41E2341,Delta-15
4621,4,Delta,H7,253,Delta-16-H7-253,44,31,0103000020110F000001000000050000000BD723DA08095F419A999961C41E23410BD723DA08095F410000000000000000F6285CC9E0A55C410000000000000000F6285CC9E0A55C419A999961C41E23410BD723DA08095F419A999961C41E2341,Delta-16
4622,4,Delta,H7,254,Delta-16-H7-254,45,31,0103000020110F000001000000050000000BD723DA08095F419A999961C41E234190C2757518B660419A999961C41E234190C2757518B6604100000000000000000BD723DA08095F4100000000000000000BD723DA08095F419A999961C41E2341,Delta-16
4623,4,Delta,H8,255,Delta-16-H8-255,46,31,0103000020110F000001000000050000009A99D97DACE761419A999961C41E23419A99D97DACE76141000000000000000090C2757518B66041000000000000000090C2757518B660419A999961C41E23419A99D97DACE761419A999961C41E2341,Delta-16
4624,4,Delta,H8,256,Delta-16-H8-256,47,31,0103000020110F000001000000050000009A99D97DACE761419A999961C41E2341A4703D86401963419A999961C41E2341A4703D864019634100000000000000009A99D97DACE7614100000000000000009A99D97DACE761419A999961C41E2341,Delta-16
4625,4,Gamma,A1,1,Gamma-1-A1-1,16,16,0103000020110F000001000000050000009A99D97DACE761C19A999961C41E63419A99D97DACE761C10000801BD8EC6141A4703D86401963C10000801BD8EC6141A4703D86401963C19A999961C41E63419A99D97DACE761C19A999961C41E6341,Gamma-1
4626,4,Gamma,A1,2,Gamma-1-A1-2,17,16,0103000020110F000001000000050000009A99D97DACE761C10000801BD8EC61419A99D97DACE761C19A999961C41E634190C2757518B660C19A999961C41E634190C2757518B660C10000801BD8EC61419A99D97DACE761C10000801BD8EC6141,Gamma-1
4627,4,Gamma,A2,3,Gamma-1-A2-3,18,16,0103000020110F000001000000050000000BD723DA08095FC19A999961C41E63410BD723DA08095FC10000801BD8EC614190C2757518B660C10000801BD8EC614190C2757518B660C19A999961C41E63410BD723DA08095FC19A999961C41E6341,Gamma-1
