id,name,character_groups,character_ids,event_ids,artifact_ids,size,themes,importance,gm_actions,text_npc_first_message,after_jump,locked,description,gm_notes,copy_from_characters
1,Torrey Watson - Memory wipe,"Engineers, Law Enforcements, Scientists, Medics","Koga Kyoshi, Torrey Watson, Yahir Watts, Valerian Fukui, Vane Hodge, Kerrie Ray, Briana Chambers, Hale Green, Taren Yates, Nikita Watson, Mel McBride, Aedan",,,Small,"Memory wipe, Lost relative",Nice to have,Text NPC,FALSE,,FALSE,"Torrey's memory was erased voluntarily. Before their memory was erased Torrey was known as Koga Kyoshi the famous serial killer Chain Strangler with their mate Yahir Watts. After the arrest Koga become a part of an experiment. Instead of going to jail, their memories would be completely erased and they would assume a new identity essentially becoming a new person: Torrey Antolini (Torrey Watson after marriage to Nikita Watson).","Text NPC might need to send police record of Koga Kyoshi. https://drive.google.com/drive/folders/1nyG7xOXq3ulrkRvv6FL2kFEcAEoI2x3e?usp=drive_link
Also some memory wipe research articles can be found from the science lab.
Valerian Fukui was on the team who arrested Koga.
Briana Chambers had a chance to talk to Koga before the memory wipe.
Vane Hodge is the real sibling of Torrey Watson and Kerrie Ray is a cousin.","Valerian Fukui
Around 14 years ago there was serial killer on the loose in Ellarion city. Or killer duo as it later on turned out. The killer became known as the chain strangler due the methods they used. All the victims were strangled and the chain was left wrapped around their necks. The case was on your deck over two years and you spent countless nights going through the evidence and picking up clues. Your teams extensive background search led you to Osiris where there had been similar murders few years back. And they led to you on the tracks of Koga Kyoshi and Yahir Watts. Over two years after the first murder on Ellarion you finally catched them. Arrest didn’t go as smoothly as planned and resulted on you shooting one of the suspects as they tried to strangle one of your men as last desperate act. Koga Kyoshi was however captured. But they never saw the trial. After extensive interrogations and psychic evaluations it was decided somewhere far above your paygrade that Koga would become a part of an experiment. Instead of going to jail, their memories would be completely erased and they would assume a new identity essentially becoming a new person. There was nothing you could do and so after many preparations a person responsible for the death of dozens of people walked to freedom as Torrey Antolini. 
Briana Chambers
Further, one particular case you remember well was a prisoner you met at the end of  your first round of studies, when doing an intern for criminal psychology a little bit over 10 years ago. They had submitted themself to a government experiment, where the prisoner was granted their freedom, provided that they let their memories be destroyed from their mind. The discussion stuck with you. The prisoner was Koga Kyoshi, the person known as a chain strangler, they had along with their partner terrorised Ellarion city for over two years. Their partner Yahir Watts had died during the arrest and Koga was absolutely devastated over it. It was peculiar to see how a person who was so callous and cruel to their victims had loved their partner so deeply. Koga was a broken person, born in poverty in Osiris and grown twisted in an environment where no one should need to live. That case haunted you for years since your internship ended before you got to know how it ended and when you tried to follow up on the case later, you found yourself on a wild goose chase. Nobody seemed to know anything about anything even like the case or so they wanted you to believe, maybe it was yet another project of the government buried after a while. You are sure, though, that you do not misremember the case, and also that the prisoner really might live amongst you with a new identity."
2,The secret sibling of Amir Bolton - Jill Montoya,,"Amir Bolton, Mark Bolton, Qwen Montoya, Jill Montoya, Lera Yang",55,,Small,Lost relative,Should have,Text NPC,TRUE,14,FALSE,"Mark Bolton is the real father of Jill Montoya. 
Mark Bolton had a short affair with Qwen Montoya and result was Jill Montoya. Mark knew but didn't want to break his marrige for Qwen and Jill. Qwen found some scavanger man to be with (and they pretend to be the other parent for Jill). After few baby years Qwen and the scavanger man pretty much left Jill to survive alone. Life was too hard with a toddler. From the shadows Mark (with the help of Lera Yang) helped Jill survive and got a spot from military for them. Later on Mark made sure that Jill was hired on ESS Odysseus under his other child Amir Bolton.
Mark made sure that Jill was getting the military engineering training, a transfer to Ellarion City Military Academy. Mark was supprised when Leigh Kent (a young Purity politician) pulled some strings so that Jill could be hired on ESS Odysseus but Jill didn't accept the job that someone else had ""given"" them. Jill got an internship on OSS Taurus and pretty soon was promoted to ESS Bluecoat. Mark was proud of Jill and how relentlessly they fought their way in the society. Unlike Amir who had all within their grasp and they didn't want to pursue to be a Star Captain (as was their dream as a child). Amir would have made a great Captain and now Amir would never rise to their fathers level. After Jill's promotions it was easier for Mark to pull some strings behind the scenes and get Jill a promotion to ESS Odysseus under their other child Amir Bolton. At least they both were now in the same place and easier to keep an eye on them. Jill definitely had more ambitions and with a right push... maybe Jill could be the next Star Captain of the family?",Mark should reveal that they are the father of Jill Montoya only after he is cast out from ESS Harbinger (mutiny Event).,
3,"Pilot - Codename ""Cherry""",Pilots,"Amir Bolton, Tristan Fukui, Serafina Banner",56,,Small,"History, Pilot, Crush, Android",Should have,No need,FALSE,,TRUE,"
Serafina Banner (Tristan Fukui) was the greatest pilot of them all. Born in Strength dynasty 470, was a well known pilot codename Cherry, missing in action 522. 
Serafina had a husband (married young) and children. Husband was always working and drank a lot (died to that). Serafina decided to enlist 498 as a pilot and was natural. Was the creator of Cherry's Barrel move in a combat situation. Saved an other vessel with it and was rewarded 512 and 522.
Amir Bolton had a crush on Cherry back in the day and named ESS Odysseus after Cherry.","Tristan has Serafina Banner's aka Cherry's memories.
This is the story how Odysseus got a nick name Cherry.","Amir Bolton
Karin was the greatest wingman of them all. You fell in love with a pilot with a call sign “Cherry”. You never actually met the person, but you saw them performing moves you couldn’t even imagine. There wasn’t anyone who could get everything out of a fighter like Cherry did. It was like the wings were attached to their own shoulders.  Cherry wasn’t flying the fighter, they were the fighter. There was even an evasive manoeuvre named after Cherry: Cherry’s Barrel. You weren’t sure if you admired the person or their actions more. The raw power and the smooth handling of the machine just blew you away. It was weirdly natural for you to feel attraction towards something like that.
Karin was there telling you jokingly that you were crazy. It would never work out, that your “Cherry” was somewhere else. Immediately you thought of Odysseus… "
4,Android Tristan Fukui,"Pilots, Bridge Crew, Politics, Security ","Tristan Fukui, Malak Fukui, Serafina Banner, Amir Bolton, Lane Thomas, Lane Hayakawa",56,,Large,"The Machines, Comeback, Android",Mandatory,Briefing Character,FALSE,,TRUE,,WHAT TO BRIEF TO THE PLAYER OF TRISTAN!,"
Tristan Fukui's memories
FILL IN HERE!"
5,Engineers steals alien artifact from scientists,"Scientists, Engineers, Security","Vane Hodge, Nikita Watson, Remy Hall, Fran Abrankowich, Ismy Arima, Eli Booth, Gene Hawkins, Dayle Rogers, Leigh Kent",,EL-QV57-5,Medium,"Alien artifacts, Improvements to Odysseus",Nice to have,Text NPC,TRUE,3,FALSE,"Engineers notices that on of the alien artifacts reacts to Vane Hodge's blood and steals the artifact for further study. They notice that with certain changes and scientist calculations the artifact can be integrated into the ships systems to give Odysseus one more calibration slot.
Remy Hall should report this incident to Security which should ask from EVA who has visited the science lab when the artifact went missing (Vane Hodge, Nikita Watson, Ismy Arima, Eli Booth, Gene Hawkins, Dayle Rogers, Leigh Kent).
Security should start conducting investigation of the matter.","Send the EVA message to engineers (message ready)
Send EVA message to security if they ask who visited the science lab when the artifact went missing (Vane Hodge, Nikita Watson, Ismy Arima, Eli Booth, Gene Hawkins, Dayle Rogers, Leigh Kent).
Add extra calibration slot when the tasks and calibrations are done (yes takes a calibration slot for a while)
USB stick puzzle for scientists to figure out frequency values etc.","Vane Hodge
Two days ago you were with Nikita in the science lab fixing some conductors under the table when you managed to cut a rather deep wound on your hand. Cursing under your breath, you leaned against the table for support, only to realize too late that your blood had tainted the surface of an alien artifact retrieved from the planet's surface. Hastily wiping away the traces of blood with your sleeve, you couldn't help but notice a strange reaction in the behavior of the artifact. 
You and Nikita quickly realized that your blood had triggered the response in the artifact. You  exchanged a startled glance before swiftly inserting the artifact into your tool bag. The gut feeling told you both that this was something you really wanted to investigate further. You were sure that the artifact had more to do with engineering and ship than science. They would never figure out what the artifact could really do, you were sure of it. With a sense of urgency, you made your way to the medbay, your mind buzzing with questions and possibilities surrounding the mysterious artifact.
When you got out of the medbay, you and Nikita hid the artifact to investigate it more closely.  Your research indicated that the artifact was some sort of power regulator which could stabilize and optimize energy flows by manipulating the quantum states of the frequency modulator. You were quite sure that if you made a few tweaks and changes to it, you could transform it to help with the ship's calibrations. In a best scenario it could add one calibration slot. It would be hard work and first you had to let EVA, the ship’s AI, conduct some calculations regarding the safety of the ship if it would be integrated into the Odysseus. Now you are just waiting for the results from EVA and trying to keep the item secret. So far there has been no news about the missing artifact."
6,Samantha Richard (NPC) dies,,"Deron Richard, David Richard, Samantha Richard",60,,Small,Death of NPC,Should have,Text NPC,TRUE,12,FALSE,Samantha Richard (Deron Richard's mother) is killed during the attacks. ,Kill Samantha Richard and send message to Deron Richard from their father David Richard,Send message from David Richard to Deron (message ready)
7,Curing plant for Gene Hawkins,"Marines, Medics, Scientists","Lee Savage, Gene Hawkins, Avery Higashi, Lex Peters, Harley Carroll",,,Medium,Cure,Should have,Briefing Character,FALSE,,FALSE,"Lee's vision/dream about a plant that can cure Gene Hawkins, recognises the planet of the dream when seeing mission map.
The plant can cure Gene Hawkins.
Other Marines doesn't know about the decease.
Lex Peters knows about the sickness but has promised not to tell anyone about it. They have pressured Gene to tell themselves.
Gene told Harley Carroll about the disease.",Brief player with following information:,"In that sleep you saw a planet, a planet that you have never been on, but you could see every detail of it. On that planet is a plant that will cure Gene."
8,Story of Li Russell / Lydia Sharp (NPC),,"Li Russell, Lydia Sharp, Remi Sharp, Gaylen Russell, Eugenie Russell, Pax Houghton, Thomas Russell",,,Small,Lost relative,Should have,Text NPC,TRUE,8,FALSE,"Li Russell changed their name from Lydia Sharp to Li Tennant (after marriage Russell). Hired a hacker to do this changed so Pax couldn't trace her.
Is the real mother of Remi Sharp. 
Run away from Pax and left Remi for Pax. Reasons:
1) Thought that the child was more safe with Pax than with her. Was afraid that someone might use Remi against Pax and she couldn't protect Remi as well as Pax could.
2) Wanted to be safe themselves after finding out who Pax was. Wanted to severe all ties to ZW and Pax.
3) Was afraid that Pax would avenge if she took the baby with her and make her life as hell or even worse kill her
Remarried and had a child Eugenie Russell
Told others that her family was mostly killed during he Machine wars",Send first message to Eugenie Russell and Remi Sharp if Remi Sharp doesn't contact Li Russell first,
9,Get Jose Cain to marry Rory Byrne (NPC),,"Jose Cain, Rory Byrne, Enisa Cain, Idris Cain",,,Small,Pre planned marriage,Nice to have,Text NPC,TRUE,4,FALSE,"Enisa, Idris and Rory all think Jose and Rory should get married as planned especially now with all the things happening","Pressure Jose about the marriage by sending messages
Jose is in love with Remi Sharp","Jose Cain
The parents had found a perfect spouse for you in Rory Byrne (NPC). You  were already engaged to be married. Everything in your life was more or less ready. After marriage and perhaps children, there were few other things to want. That was kind of terrifying as an idea; what if this was it? The life you lived would be the life you would live until the end. ...Well, at least it was a good life."
10,Android Ziva,,"Ziva Callahan, Evin Reid, Yera Romero, Haven Reid, Steff Carson",,,Medium,Android,Nice to have,No need,FALSE,,FALSE,"Ziva has Yera's and Evin's child's Haven's memories implanted in them. Yera does not know this.
Being public android during the war against machines",Brief player with following information:,"Evin Reid
Project Ziva
In 529 you started a new project: building a fully human-like android of your own, Ziva Callahan. Project Devyn was still ongoing, but the reprogramming itself was practically complete. You were mainly tinkering with the final details of its fabricated personal history while waiting for the permission to set it free. You finally had time for the challenge you had been waiting to tackle most of your life.
By this time, creating a human-like body was no longer an insurmountable obstacle, thanks to Devyn and some of the Machine-made parts you had found with it. You delegated most of that work to your team and concentrated on a more intriguing problem: the mind. 
Building on Yera’s previous work, you came to believe that creating a more realistic personality required integrating real memories into artificial ones. It was clear to you that the crucial core memories were those from childhood. They needed to be collected from children to preserve their authenticity and clarity. The morality of doing this became a recurring topic in your increasingly common and vicious fights with Yera. In their opinion, memories were the core of who we are as a person. Children, not being mature enough to consider all the implications, could not consent to their memories being used. For you, this was a non-issue, since the memories could be modified enough that the final AI should not be able to recognize their source. But Yera wouldn’t budge.
When it rains, it pours. The threads of your happy life unraveled one at a time. Not long after the divorce, Haven started getting ill. The diagnosis was leukemia, a high-risk type that gave them little time to live. Why hadn’t you spent more time with your child when you still had the chance? Watching Haven deteriorate was the hardest thing you had ever had to face. Yera was there all through it. You tried your best to support each other, but couldn’t really find comfort in each other anymore. The only solace you had, after Haven died in 532, was that during the weeks your child had spent with you – and had still been well – you had managed to collect and preserve many of their memories. In your grief, you were oddly comforted to think that a part of Haven would live on in the AI you were working on for your android, Ziva. You did not tell Yera of what you had done.
Brief: Project Ziva
These are your child’s happy memories which you have incorporated to be a part of Ziva’s personality.  
“Higher, higher!” you scream, and the swing takes you ever upward. You can feel the wind in your hair and the touch of your parent’s hands on your back as they push to give you more speed. The pure joy of feeling free and being safe. You can hear your other parent laughing from where they are sitting on a picnic blanket. “Come on you two, let’s eat!” As the swaying stops, you feel your parent lifting you up from the swing and hugging you. “Come, little one, let’s race to the food.”
You hold the hand tight. The animals at the zoo are scary. “It’s OK love,” the soft voice of your parent says. “I’m here for you. It’s all safe.”
“I want the big one!” You point at the huge lollipop on the shelf in a large candy store. You look pleadingly at your parent. Their smile becomes softer as they nod at the lady at the counter. “The big one, please.”
You are lying in bed between your parents. They hold a big book full of colorful pictures. You know they are telling the story wrong, but it is so funny you just keep bursting into laughter when you try to tell them to read the story as it is written. 
And these are chapters from Ziva’s character about your shared past:
Let’s face it, you are not human. You never have been nor will you ever be one. You were created by humans. No matter how hard you try, you will always be a machine and thus an enemy to some of them. You are ageless, if treated well you could basically live forever. Eternal life is something people have been dreaming about for as long as they have been part of this universe. The ones who created you gave you loads of memories, but they are not yours. You are 5 years 3 months 6 days 8 hours 3 minutes and 12 seconds old. At leas, that is how long it has been since your memory drive was last erased. There have probably been previous versions of you, tests, calibrations, trials done and errors made until they created what you are now. You wonder what the previous “you”s were like. 
First you were shown off to everyone as… well, a toy. You didn’t feel good about that, but you wanted to make your creator happy, as most children do. Everyone wanted to know if you could do this or that or that… You are more than just some test device. Evin had been by your side all along, and then they just... weren’t. After two years of showcasing you in all sorts of science conferences and events, Evin came to you one night and looked at you for a long time. When they left again, there was a single tear in their eye. Evin didn’t say anything, but you felt this was the final goodbye. You never saw them again."
11,Lex Peters' parents death,,"Lex Peters, Hilde Peters, Jaden Hill",,,Medium,Purity,Should have,Text NPC,TRUE,,FALSE,"Lex Peters have been raised by their grandmother since their parent’s died in a fire when Lex was just an infant. Lex were too young to remember them, but their grandmother Hilde (NPC) has told them a lot about them and as a teenager Lex stumbled on an old news article about suspicions that the fire may not have been an accident, but the investigations were halted and forgotten. Hilde told them that there were some suspicions but nothing concrete was ever found and the past is best to be left in the past. It still sometimes bothers Lex. 
A plot about Purity being responsible for Lex's parents death and the NPC would send confession to them early in the game. And from there they would get info about Purity betrayal or so... ",Send messages? or tell live as Jaden Hill is coming aboard Odysseus.,
12,Death of Aran Arima (NPC),Law Enforcement,"Aran Arima, Abe Arima, Ismy Arima, Amy Arima, Leone Mills, Corey Mills, Angel Buchanan",,,Small,"Death of NPC, Assassination, Purity",Nice to have,No need,FALSE,,FALSE,"Aran Arima died of blood cancer but Leone Mills was poisoning Aran. It was Leone's first assassination. They pretended to be Ismy Arima's baby sitter. Ismy was only 7 years old. Angel Buchanan worked with Leone in the case. Corey Mills was the one who suggested Leone should do the hit to get Leone kill early in their age (only 16 years old back then). The job was done because Purity wanted Abe back to their ranks. Purity sent Yuri Mills to talk Abe back to Purity.
Leone Mills was slowly poisoning Aran so that it looked like they just got sick while at the same time they spent time and took care of little Ismy Arima was heartbreaking.",,
13,Purity and the deal with the Machines,"Purity, Law Enforcement, Security, Politicians","Abe Arima, Dallan Jordan, Elan Nieze, Jaden Hill, Lex Peters, Ator Davis, Lynn Ryan, Kai Rogers",,MACH-564,Large,"Purity, The Machines, Betrayal",Should have,Text NPC,TRUE,,FALSE,"Dallan Jordan was hero pilot during the war who was imprisoned by the Machines. Dallan was released and they became politician afterwords, working for the enemy Machines for the whole time. Convinced Purity leader, Elan Nieze, to make a deal with the enemy. (See more on plot Dallan Jordan imprisoned by the Machines)
Elan Nieze knows everything Dallan knows about the Machine deal and androids. Pulls strings behind the scenes. Also Jaden Hill knows about this. 
The Purity saw starcaller mission as a chance to ask the Machines what the frak happened to the deal, and since Dallan Jordan had the most experience with them, Purity wanted Dallan to go.
Abe Arima also knows about the Purity and the Machines.
Kai Rogers suspects something odd with Dallan Jordan.","If the part of Purity in the Machine attacks does not come out, NPC messages should be sent to reveal the plot.","Dallan Jordan
Read Dallan Jordan character for more information"
