id,name_generated,is_scanned,description,ring_system,radius,mass,habitable_zone,name_known,celestial_body,atmosphere,satellite_of,category,temperature,orbital_period,rotation,orbiter_count,atm_pressure,gs_size,gs_size_scale,gs_size_halo,gs_fill_opacity,gs_rotation,gs_color,gs_color_halo,the_geom,distance,surface_gravity
5416,A15,t,,f,0,2000,,A15,jump point,,,,,,,,,1,1,1,1,1,,,0101000020110F0000F7E51B5BB86C4C41CCA394FB7F5451C1,,
5417,A16,t,,f,0,2000,,A16,jump point,,,,,,,,,1,1,1,1,1,,,0101000020110F00000F543FE396904841C866393A30F951C1,,
5415,A14,t,,f,0,2000,,A14,jump point,,,,,,,,,1,1,1,1,1,,,0101000020110F000080024A0D2CAA4841042E2A48A8BA52C1,,
5413,A11,t,,f,0,2000,,A11,jump point,,,,,,,,,1,1,1,1,1,,,0101000020110F0000C028F65632AD4941EE04F61E72A451C1,,
5419,A18,t,,f,0,2000,,A18,jump point,,,,,,,,,1,1,1,1,1,,,0101000020110F00000F543FE396904841E299386D581151C1,,
5418,A17,t,,f,0,2000,,A17,jump point,,,,,,,,,1,1,1,1,1,,,0101000020110F000030F960FB05AD4A4110F66BC9B63F51C1,,
5420,A19,t,,f,0,2000,,A19,jump point,,,,,,,,,1,1,1,1,1,,,0101000020110F0000A87612DAD6BC4B41F78FDCDE30CE50C1,,
5426,BH-8445,t,,f,0,0,,,black hole,,,,,,,,,1,1,1,1,1,,,0101000020110F00000871021B77964B417174B62E2B9F5DC1,,
5412,A10,t,,f,0,2000,,A10,jump point,,,,,,,,,1,1,1,1,1,,,0101000020110F0000FE2C4226FAC94941C43A0EB6FF1053C1,,
5414,A13,t,,f,0,2000,,A13,jump point,,,,,,,,,1,1,1,1,1,,,0101000020110F000063E7DF4A50764C41536AA3112C1152C1,,
5424,CS25,t,Science outpost,f,1,100000,,Solaris 5,celestial station,,,,,,,,,1,1,1,1,1,,,0101000020110F0000294C1AC1089D4A41042E2A48A8BA52C1,,
5421,CS31,t,"Shipyard, orbital trading station",f,2,1000000,,Enoch 4,celestial station,,,,,,,,,1,1,1,1,1,,,0101000020110F0000E289577A24FD49416F1EBEFA205152C1,,
5422,CS11,t,Military starbase,f,2,1000000,,Atlantis 2,celestial station,,,,,,,,,1,1,1,1,1,,,0101000020110F0000DC98504BAA204841C5077EFEA1B751C1,,
