id,zoom,quadrant,sector,sub_sector,name,x,y,the_geom
1,1,Pi,,,Pi,,,0103000020110F00000100000005000000A4703D86401973419A999961C41E6341A4703D86401963419A999961C41E6341A4703D86401963419A999961C41E7341A4703D86401973419A999961C41E7341A4703D86401973419A999961C41E6341
2,1,Epsilon,,,Epsilon,,,0103000020110F00000100000005000000A4703D86401973419A999961C41E6341A4703D86401973410000000000000000A4703D86401963410000000000000000A4703D86401963419A999961C41E6341A4703D86401973419A999961C41E6341
3,1,Zeta,,,Zeta,,,0103000020110F00000100000005000000A4703D86401963410000000000000000A4703D86401973410000000000000000A4703D86401973419A999961C41E63C1A4703D86401963419A999961C41E63C1A4703D86401963410000000000000000
4,1,Eta,,,Eta,,,0103000020110F00000100000005000000A4703D86401963419A999961C41E63C1A4703D86401973419A999961C41E63C1A4703D86401973419A999961C41E73C1A4703D86401963419A999961C41E73C1A4703D86401963419A999961C41E63C1
5,1,Omicron,,,Omicron,,,0103000020110F00000100000005000000A4703D86401963419A999961C41E634100000000000000009A999961C41E634100000000000000009A999961C41E7341A4703D86401963419A999961C41E7341A4703D86401963419A999961C41E6341
6,1,Delta,,,Delta,,,0103000020110F0000010000000500000000000000000000009A999961C41E6341A4703D86401963419A999961C41E6341A4703D864019634100000000000000000000000000000000000000000000000000000000000000009A999961C41E6341
7,1,Alpha,,,Alpha,,,0103000020110F00000100000005000000A4703D86401963419A999961C41E63C100000000000000009A999961C41E63C100000000000000000000000000000000A4703D86401963410000000000000000A4703D86401963419A999961C41E63C1
8,1,Theta,,,Theta,,,0103000020110F0000010000000500000000000000000000009A999961C41E63C1A4703D86401963419A999961C41E63C1A4703D86401963419A999961C41E73C100000000000000009A999961C41E73C100000000000000009A999961C41E63C1
9,1,Xi,,,Xi,,,0103000020110F0000010000000500000000000000000000009A999961C41E734100000000000000009A999961C41E6341A4703D86401963C19A999961C41E6341A4703D86401963C19A999961C41E734100000000000000009A999961C41E7341
10,1,Gamma,,,Gamma,,,0103000020110F00000100000005000000A4703D86401963C19A999961C41E634100000000000000009A999961C41E634100000000000000000000000000000000A4703D86401963C10000000000000000A4703D86401963C19A999961C41E6341
11,1,Beta,,,Beta,,,0103000020110F0000010000000500000000000000000000009A999961C41E63C1A4703D86401963C19A999961C41E63C1A4703D86401963C100000000000000000000000000000000000000000000000000000000000000009A999961C41E63C1
12,1,Iota,,,Iota,,,0103000020110F00000100000005000000A4703D86401963C19A999961C41E63C100000000000000009A999961C41E63C100000000000000009A999961C41E73C1A4703D86401963C19A999961C41E73C1A4703D86401963C19A999961C41E63C1
13,1,Nu,,,Nu,,,0103000020110F00000100000005000000A4703D86401963C19A999961C41E7341A4703D86401963C19A999961C41E6341A4703D86401973C19A999961C41E6341A4703D86401973C19A999961C41E7341A4703D86401963C19A999961C41E7341
14,1,Mu,,,Mu,,,0103000020110F00000100000005000000A4703D86401963C10000000000000000A4703D86401973C10000000000000000A4703D86401973C19A999961C41E6341A4703D86401963C19A999961C41E6341A4703D86401963C10000000000000000
15,1,Lambda,,,Lambda,,,0103000020110F00000100000005000000A4703D86401973C10000000000000000A4703D86401963C10000000000000000A4703D86401963C19A999961C41E63C1A4703D86401973C19A999961C41E63C1A4703D86401973C10000000000000000
16,1,Kappa,,,Kappa,,,0103000020110F00000100000005000000A4703D86401963C19A999961C41E73C1A4703D86401973C19A999961C41E73C1A4703D86401973C19A999961C41E63C1A4703D86401963C19A999961C41E63C1A4703D86401963C19A999961C41E73C1
