id,gs_size,gs_size_scale,gs_size_halo,gs_fill_opacity,gs_rotation,gs_color,gs_color_halo,the_geom
1,0.7,1.01,10.9,0.5,0,#FFFFFF,FFFFFF,0101000020110F0000D7A370399C7472C1713D0A8B97687241
2,0.7,1,3.4,0.6,0,#CBCDFE,CBCDFE,0101000020110F000085EB51802F666DC1D7A3700DB0A55041
3,0.7,1.1,3.2,0.4,0,#F9F6CF,F9F6CF,0101000020110F0000E17A14EE336240C1AE47E1DAB6A350C1
4,0.2,1.12,7.4,0.7,0,#FFF464,FFF464,0101000020110F0000AE47E17A4FDE1D4114AE47C198966A41
5,0.9,1.1,8.7,0.5,0,#F9F3A4,F9F3A4,0101000020110F0000D7A370B92DC8704100000030D0E45541
6,1,1.08,10.9,0.6,0,#8B96FF,8B96FF,0101000020110F00001F85EBA934117041000000F091666AC1
7,0.9,1.1,6.4,0.4,0,#FFFFFF,FFFFFF,0101000020110F00003333332BC23C6941B81E85C33C586541
8,1,1.15,9,0.4,0,#8B96FF,8B96FF,0101000020110F000085EB51F88B8550C17B14AE6736F16EC1
9,1.1,1.18,2.8,0.5,0,#CBCDFE,CBCDFE,0101000020110F00003333337B3D3762C15C8FC2C90E677241
10,0.2,1.04,10.4,0.4,0,#F9F6CF,F9F6CF,0101000020110F0000CDCCCCCCDEAE464114AE47D110CA6FC1
11,1.1,1.12,12,0.4,0,#F9F3A4,F9F3A4,0101000020110F0000C3F528BCB18461C10AD7A390A03348C1
12,0.4,1.05,7,0.7,0,#E6E6F7,E6E6F7,0101000020110F0000713D0A7793714B417B14AE37F9027041
13,0.9,1.16,7.4,0.7,0,#8B96FF,8B96FF,0101000020110F0000AE47E16A97B46B41AE47E13ADD696441
14,0.9,1.18,7.8,0.5,0,#FFFFFF,FFFFFF,0101000020110F0000666666FE8FFA61C185EB5108518C6CC1
15,0.9,1.15,7.9,0.7,0,#FFF464,FFF464,0101000020110F00009A99997934804BC16666667AE4C27041
16,0.3,1.11,10.9,0.4,0,#FA6642,FA6642,0101000020110F00003333336786F17041295C8FC27CD45F41
17,0.9,1.19,5.3,0.4,0,#FEAA52,FEAA52,0101000020110F0000B81E852B77634C41A4703DEAF1A76D41
18,0.5,1.17,5.7,0.6,0,#FFFFFF,FFFFFF,0101000020110F0000D7A3701D93754E41A4703D5AD5646541
19,1.1,1.11,9.4,0.4,0,#FFFFFF,FFFFFF,0101000020110F0000000000809F3C4C41295C8F82ED103A41
20,1,1.09,6.8,0.4,0,#F9F6CF,F9F6CF,0101000020110F000048E17A2CEEE461C1D7A370756E996041
21,0.6,1.06,2.6,0.6,0,#FFFFFF,FFFFFF,0101000020110F00003D0AD73390687041F6285C8F343A5EC1
22,0.5,1.09,3.5,0.5,0,#8B96FF,8B96FF,0101000020110F00008FC2F5A85CA270C1B81E850BBE2D56C1
23,0.3,1.03,4,0.4,0,#E6E6F7,E6E6F7,0101000020110F000052B81E85D84660C148E17A74FFFB4641
24,0.2,1.12,7.5,0.7,0,#F9F3A4,F9F3A4,0101000020110F00009A99995156B865C185EB51D020FE71C1
25,1,1.12,6.2,0.4,0,#FFFFFF,FFFFFF,0101000020110F000085EB51A0BD0264C15C8FC2ED3F1A6FC1
26,0.5,1.05,2.7,0.4,0,#FFFFFF,FFFFFF,0101000020110F0000B81E85EB6FC32D415C8FC2D5B9436341
27,0.8,1.07,11.3,0.6,0,#FFFFFF,FFFFFF,0101000020110F0000F6285CFFDA7464C1AE47E1A6A12B72C1
28,0.6,1.07,5.3,0.5,0,#FFFFFF,FFFFFF,0101000020110F00000AD7A318BB176D41666666FE14E97141
29,0.3,1.11,8.2,0.4,0,#F9F6CF,F9F6CF,0101000020110F0000B81E850BC3B043C1713D0AD7555B1B41
30,1.1,1.14,9.2,0.5,0,#666EFF,666EFF,0101000020110F00007B14AE87F3EE324114AE4749A7E168C1
31,0.4,1,6.9,0.4,0,#F9F3A4,F9F3A4,0101000020110F0000CDCCCC5C014461C114AE47CD889972C1
32,0.9,1.1,7,0.6,0,#FFFFFF,FFFFFF,0101000020110F00000AD7A300C55E5C417B14AE6F1D8862C1
33,0.2,1.11,6.6,0.6,0,#FFFFFF,FFFFFF,0101000020110F0000EC51B8DE97FC54C1E17A143220B57041
34,0.7,1.03,7.7,0.5,0,#F9F3A4,F9F3A4,0101000020110F0000666666461F114DC10AD7A3D8B6276741
35,0.6,1.14,11,0.5,0,#8B96FF,8B96FF,0101000020110F0000AE47E12277646E413D0AD76BF6C56F41
36,0.1,1.12,9,0.4,0,#F9F6CF,F9F6CF,0101000020110F00000AD7A30037AE65C10000009015796141
37,0.6,1.13,8.8,0.6,0,#FFFFFF,FFFFFF,0101000020110F00007B14AE17E5DC544185EB5198629341C1
38,1.1,1.12,9.5,0.6,0,#666EFF,666EFF,0101000020110F000085EB5108496F594166666696C6DC56C1
39,0.4,1.14,3.6,0.7,0,#8B96FF,8B96FF,0101000020110F00008FC2F588682140C166666656CFBE5CC1
40,0.4,1.07,5.2,0.4,0,#F9F3A4,F9F3A4,0101000020110F0000F6285CCFF4904B4152B81E656D925841
41,0.8,1.06,4.9,0.6,0,#E6E6F7,E6E6F7,0101000020110F0000D7A3707DC148534185EB513074F36541
42,0.7,1,5.1,0.4,0,#E6E6F7,E6E6F7,0101000020110F000048E17AE4C49D5541295C8F1270A95BC1
43,0.2,1.12,4.4,0.4,0,#E6E6F7,E6E6F7,0101000020110F0000000000D8148E644114AE47E18D8D5741
44,0.1,1.07,10.1,0.5,0,#FFFFFF,FFFFFF,0101000020110F0000CDCCCCB0CD0070C1F6285C2BD0B571C1
45,0.1,1.19,7.2,0.4,0,#CBCDFE,CBCDFE,0101000020110F00003D0AD75368695F41D7A370A52C706941
46,0.9,1.14,2.2,0.7,0,#FFFFFF,FFFFFF,0101000020110F000085EB51E8E55D58415C8FC215E2EA6C41
47,0.4,1.16,6.3,0.6,0,#FFF464,FFF464,0101000020110F0000F6285CFF36E354C152B81E0D7E246A41
48,1,1.04,8.8,0.5,0,#F9F3A4,F9F3A4,0101000020110F0000C3F5283C880E40C10AD7A3A07A4254C1
49,0.7,1.04,8.9,0.7,0,#FFF464,FFF464,0101000020110F00003D0AD7E37C3B5641C3F52884F8606FC1
50,0.1,1.08,2.4,0.6,0,#CBCDFE,CBCDFE,0101000020110F00000AD7A35077C048C1295C8F9A39FE6BC1
51,0.7,1.19,5,0.7,0,#CBCDFE,CBCDFE,0101000020110F0000CDCCCCEC1B7B70411F85EB41E89968C1
52,0.1,1.06,7.3,0.6,0,#FFF464,FFF464,0101000020110F0000F6285CF7B8027341EC51B8EE990F61C1
53,0.5,1.1,7.3,0.6,0,#666EFF,666EFF,0101000020110F0000B81E85D376D66AC114AE47E10B9B6CC1
54,0.6,1.01,10.7,0.4,0,#F9F6CF,F9F6CF,0101000020110F000014AE47B5DC6D7241B81E85AB036D48C1
55,0.1,1.19,4.6,0.6,0,#CBCDFE,CBCDFE,0101000020110F0000295C8FDA5DE971415C8FC21527305D41
56,0.9,1.03,3.6,0.4,0,#FFFFFF,FFFFFF,0101000020110F00000AD7A350CA2B6EC1A4703D9A59336641
57,0.4,1.16,11.1,0.5,0,#FFFFFF,FFFFFF,0101000020110F0000AE47E1BAA94E37413333337317F039C1
58,0.8,1.12,11.5,0.4,0,#F9F6CF,F9F6CF,0101000020110F0000B81E852769DF71410AD7A3D0092A4841
59,0.3,1.03,4.2,0.7,0,#FFFFFF,FFFFFF,0101000020110F00001F85EB7D353371C133333373CEB74FC1
60,0.3,1.13,8.3,0.7,0,#FA6642,FA6642,0101000020110F00007B14AEC7C9A021417B14AE9F8EBE6D41
61,0.4,1.05,6.5,0.4,0,#666EFF,666EFF,0101000020110F000048E17A84FC717241D7A3703D738C1541
62,0.7,1.01,11.8,0.7,0,#CBCDFE,CBCDFE,0101000020110F0000A4703D8ADE9D2CC1EC51B8EA228172C1
63,0.3,1.2,4,0.6,0,#8B96FF,8B96FF,0101000020110F0000AE47E18EFA4772C16666666673795D41
64,0.8,1.2,7.3,0.5,0,#FFFFFF,FFFFFF,0101000020110F00009A9999097833544148E17AB48BA35541
65,0.3,1.2,4.6,0.6,0,#FFFFFF,FFFFFF,0101000020110F000085EB51F8BEBE62C1E17A142E8E163241
66,0.5,1.14,10.7,0.5,0,#FFFFFF,FFFFFF,0101000020110F00000AD7A3C042435FC166666666FEFA4141
67,0.4,1.13,10,0.7,0,#FFFFFF,FFFFFF,0101000020110F0000A4703DBAB1E460C1EC51B8D645287041
68,0.4,1,7.4,0.6,0,#CBCDFE,CBCDFE,0101000020110F000052B81E1922F17141A4703D7E559971C1
69,1,1.03,3.8,0.6,0,#FFFFFF,FFFFFF,0101000020110F0000EC51B8AE79915BC148E17AA8046D7141
70,1.1,1.04,5.5,0.6,0,#F9F6CF,F9F6CF,0101000020110F0000713D0A3FFBF869C10AD7A370B87635C1
71,0.7,1.03,6.1,0.6,0,#FFFFFF,FFFFFF,0101000020110F0000A4703D9AB1776941CDCCCCEC124646C1
72,0.8,1.11,8.8,0.6,0,#CBCDFE,CBCDFE,0101000020110F0000F6285C67B4FE6EC1713D0A57928D3441
